model_name,experiment,paradigm,system,combined,distribution,is_lora,step,sst2_val_acc,sst2_val_f1,qqp_val_acc,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,train_acc,train_loss,time_step,gpu_mem_step
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,23,0.8107798165137615,0.8212351029252438,0.0,0.0,0.0,0.0,0.8107798165137615,0.1274491727518517,187.713925,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,24,0.8061926605504587,0.8184747583243824,0.0,0.0,0.0,0.0,0.8061926605504587,0.1280939760359882,200.354349,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.8084862385321101,0.819848975188781,0.0,0.0,0.0,0.0,0.8084862385321101,0.1267106561933164,190.329315,0.3427341380503592
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,1,0.0,0.0,0.5927,0.1127,0.0,0.0,0.903,0.0,258.82,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,2,0.0,0.0,0.6273,0.0,0.0,0.0,0.9058,0.0,247.61,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,3,0.0,0.0,0.6307,0.0187,0.0,0.0,0.9083,0.0,250.87,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,4,0.0,0.0,0.6489,0.1254,0.0,0.0,0.9114,0.0,251.92,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,5,0.0,0.0,0.676,0.2752,0.0,0.0,0.9143,0.0,249.97,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,6,0.0,0.0,0.6691,0.2339,0.0,0.0,0.914,0.0,247.98,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,7,0.0,0.0,0.6697,0.2369,0.0,0.0,0.9162,0.0,250.7,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,8,0.0,0.0,0.6781,0.2802,0.0,0.0,0.9164,0.0,252.78,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,9,0.0,0.0,0.6807,0.2925,0.0,0.0,0.9181,0.0,243.89,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,10,0.0,0.0,0.684,0.3091,0.0,0.0,0.9189,0.0,248.83,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,11,0.0,0.0,0.676,0.2658,0.0,0.0,0.9198,0.0,247.77,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,12,0.0,0.0,0.697,0.3713,0.0,0.0,0.9204,0.0,250.63,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,13,0.0,0.0,0.6878,0.3281,0.0,0.0,0.921,0.0,248.47,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,14,0.0,0.0,0.6962,0.368,0.0,0.0,0.9214,0.0,246.69,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,15,0.0,0.0,0.6936,0.3546,0.0,0.0,0.9214,0.0,250.87,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,16,0.0,0.0,0.6887,0.3302,0.0,0.0,0.9212,0.0,246.99,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,17,0.0,0.0,0.693,0.3514,0.0,0.0,0.9222,0.0,248.3,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,18,0.0,0.0,0.6936,0.3546,0.0,0.0,0.9225,0.0,251.73,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,19,0.0,0.0,0.6997,0.3828,0.0,0.0,0.9219,0.0,252.04,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,20,0.0,0.0,0.6977,0.3739,0.0,0.0,0.9228,0.0,246.71,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,21,0.0,0.0,0.701,0.3887,0.0,0.0,0.9224,0.0,250.98,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,22,0.0,0.0,0.6993,0.3817,0.0,0.0,0.9227,0.0,240.29,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,23,0.0,0.0,0.698,0.3741,0.0,0.0,0.9224,0.0,247.3,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,24,0.0,0.0,0.6983,0.3748,0.0,0.0,0.9219,0.0,244.82,0.08807936
tiny_bert,tinybert_fl_single_qqp_non-iid_3clients,Single-task,FL,FL-Single-task,Non-IID,False,25,0.0,0.0,0.6954,0.361,0.0,0.0,0.9217,0.0,249.67,0.08807936
